date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:27	20200/20200	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:31%20GMT	http://aliensix.com/particles-1.4/HTML/js/jquery.magnific-popup.min.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/jquery.magnific-popup.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:28	8769/8769	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:32%20GMT	http://aliensix.com/particles-1.4/HTML/js/scrollreveal.min.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/scrollreveal.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:30	2091/2091	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:32%20GMT	http://aliensix.com/particles-1.4/HTML/js/style-switcher.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/style-switcher.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:31	4752/4752	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:31%20GMT	http://aliensix.com/particles-1.4/HTML/js/main.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/main.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:35	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2027%20Oct%202017%2020:02:21%20GMT	http://aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.eot	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.eot	(from http://aliensix.com/particles-1.4/HTML/css/bootstrap.min.css)
14:20:35	321156/321156	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:28%20GMT	http://aliensix.com/particles-1.4/HTML/images/team-member-4.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/team-member-4.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:38	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2027%20Oct%202017%2020:02:21%20GMT	http://aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.eot?	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regulard41d.eot	(from http://aliensix.com/particles-1.4/HTML/css/bootstrap.min.css)
14:20:39	18028/18028	---MCZ	200	added ('OK')	text/plain	date:Fri,%2027%20Oct%202017%2020:02:21%20GMT	http://aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.woff2	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.woff2	(from http://aliensix.com/particles-1.4/HTML/css/bootstrap.min.css)
14:20:42	23424/23424	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2027%20Oct%202017%2020:02:21%20GMT	http://aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.woff	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.woff	(from http://aliensix.com/particles-1.4/HTML/css/bootstrap.min.css)
14:20:46	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2027%20Oct%202017%2020:02:21%20GMT	http://aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.svg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.svg	(from http://aliensix.com/particles-1.4/HTML/css/bootstrap.min.css)
14:20:50	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2027%20Oct%202017%2020:02:21%20GMT	http://aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.ttf	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/fonts/glyphicons-halflings-regular.ttf	(from http://aliensix.com/particles-1.4/HTML/css/bootstrap.min.css)
14:20:50	410969/410969	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:29%20GMT	http://aliensix.com/particles-1.4/HTML/images/team-member-3.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/team-member-3.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:56	466950/466950	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:27%20GMT	http://aliensix.com/particles-1.4/HTML/images/team-member-2.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/team-member-2.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:21:02	333834/333834	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2027%20Oct%202017%2020:02:22%20GMT	http://aliensix.com/particles-1.4/HTML/fonts/ionicons.svg?v=2.0.0	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/fonts/ionicons28b5.svg	(from http://aliensix.com/particles-1.4/HTML/css/ionicons.min.css)
14:21:04	67904/67904	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2027%20Oct%202017%2020:02:22%20GMT	http://aliensix.com/particles-1.4/HTML/fonts/ionicons.woff?v=2.0.0	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/fonts/ionicons28b5.woff	(from http://aliensix.com/particles-1.4/HTML/css/ionicons.min.css)
